Altium Designer Pick and Place Locations
\\Mac\Home\Yandex.Disk.localized\Development\Jobs\RHS\rcan-usb-hardware\doc\pcb\Pick Place for PCB.csv

========================================================================================================================
File Design Information:

Date:       26/09/24
Time:       17:50
Revision:   dc696c45120e60208136858332ab27d68e4dcdee
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U4","LM1117LD-3.3","TopLayer","DFN400X400X80-9N","47.4276","-7.0938","0","Linear Voltage Regulator IC 1 Output 800mA 8-WSON _4x4_"
"*2","M3","TopLayer","M3","11.0381","-6.3500","0",""
"*1","M3","TopLayer","M3","62.5619","-6.3500","0",""
"SW1_CAN2","DS1040-01RT","TopLayer","DS1040-01RT","47.8250","53.2400","0","DS1040-01RT"
"SW1_CAN1","DS1040-01RT","TopLayer","DS1040-01RT","25.7750","53.2400","0","DS1040-01RT"
"CAN2_IN","TBLH10-350-02BK","TopLayer","CUI_TBLH10-350-02BK","61.9250","50.6750","180","TBLH10-350-02BK"
"CAN2_OUT","TBLH10-350-02BK","TopLayer","CUI_TBLH10-350-02BK","53.9500","50.6750","180","TBLH10-350-02BK"
"R9_CAN2","10k","TopLayer","R_0603","45.3250","35.9750","270","Resistor"
"R9_CAN1","10k","TopLayer","R_0603","20.0500","35.9750","270","Resistor"
"R1","10k","TopLayer","R_0603","48.6500","12.1750","135","Resistor"
"C6","0.1uF","TopLayer","C_0603","40.8000","4.5500","135","Capacitor"
"X1","TYPE-C-31-M-12","TopLayer","HRO_TYPE-C-31-M-12","36.8000","-13.9775","0","USB Connectors 24 Receptacle 1 8.94*7.3mm RoHS"
"CAN1_OUT","TBLH10-350-02BK","TopLayer","CUI_TBLH10-350-02BK","11.6750","50.8250","180","TBLH10-350-02BK"
"CAN1_IN","TBLH10-350-02BK","TopLayer","CUI_TBLH10-350-02BK","19.6500","50.8250","180","TBLH10-350-02BK"
"U3","USBLC6-2SC6","TopLayer","SOT95P280X145-6N","36.8400","-7.3750","270","17V Clamp 5A (8/20µs) Ipp Tvs Diode Surface Mount SOT-23-6"
"U2_CAN2","SN65HVD232D","TopLayer","SO-8_M","49.1000","34.6000","90","CAN_transiever"
"U2_CAN1","SN65HVD232D","TopLayer","SO-8_M","23.7000","34.6000","90","CAN_transiever"
"U1","STM32F405RGT6","TopLayer","LQFP64-10x10mm","36.7000","12.5250","45","No Description Available"
"R12","5.1k","TopLayer","R_0603","39.7900","-7.4250","270","Resistor"
"R11","5.1k","TopLayer","R_0603","41.4650","-7.4000","270","Resistor"
"R10_CAN2","120","TopLayer","R_0603","48.5000","47.2500","0","Resistor"
"R10_CAN1","120","TopLayer","R_0603","25.1250","47.3250","180","Resistor"
"R2","10k","TopLayer","R_0603","30.0750","17.7000","315","Resistor"
"R3","10k","TopLayer","R_0603","34.4500","2.5250","45","Resistor"
"R8","270","TopLayer","R_0603","66.7000","46.8000","270","Resistor"
"R7","270","TopLayer","R_0603","68.1500","46.8000","270","Resistor"
"R6","270","TopLayer","R_0603","5.4500","46.9500","270","Resistor"
"R5","270","TopLayer","R_0603","6.9000","46.9500","270","Resistor"
"R4","270","TopLayer","R_0603","29.9500","-12.6500","90","Resistor"
"G1","NX3225GD-8MHZ","TopLayer","NX3225GD","28.2250","6.1501","45","Crystal Oscillator"
"D1_CAN2","ESDCAN24-2BLY","TopLayer","SOT23","49.0725","40.5570","90","ESD"
"D1_CAN1","ESDCAN24-2BLY","TopLayer","SOT23","23.7250","40.5570","90","ESD"
"TX2","Red","TopLayer","LED_0603","66.7000","49.5500","90","LED"
"RX2","Red","TopLayer","LED_0603","68.1500","49.5500","90","LED"
"TX1","Red","TopLayer","LED_0603","5.4500","49.7000","90","LED"
"RX1","Red","TopLayer","LED_0603","6.9000","49.7000","90","LED"
"State","Red","TopLayer","LED_0603","29.9500","-15.4000","270","LED"
"C12_CAN2","0.1uF","TopLayer","C_0603","49.0500","29.2500","0","Capacitor"
"C12_CAN1","0.1uF","TopLayer","C_0603","23.7250","29.3000","0","Capacitor"
"C15","22uF 10V","TopLayer","TANTAL_TYPE_A","46.0150","-2.1250","180","Tantal Capacitor"
"C14","0.1uF","TopLayer","C_0603","46.6150","-4.1500","0","Capacitor"
"C9","0.1uF","TopLayer","C_0603","32.1803","4.7303","45","Capacitor"
"C8","8pF","TopLayer","C_0603","31.0250","6.8750","135","Capacitor"
"C7","8pF","TopLayer","C_0603","28.9197","8.9553","315","Capacitor"
"C11","0.1uF","TopLayer","C_0603","44.7500","8.4750","135","Capacitor"
"C5","0.1uF","TopLayer","C_0603","33.3250","3.6250","45","Capacitor"
"C1","0.1uF","TopLayer","C_0603","45.8553","9.5697","135","Capacitor"
"C2","0.1uF","TopLayer","C_0603","26.7750","10.1000","45","Capacitor"
"C4","0.1uF","TopLayer","C_0603","39.0000","22.2250","225","Capacitor"
"C3","0.1uF","TopLayer","C_0603","28.1000","15.8250","315","Capacitor"
"C13","0.1uF","TopLayer","C_0603","45.0250","-10.2000","0","Capacitor"
"C10","0.1uF","TopLayer","C_0603","40.1000","21.1250","225","Capacitor"
